source_code,source_label_eng,source_label_kor,target_code,target_label_eng,target_label_kor,reason,raw_count
D000150,Atazanavir,아타자나비르,D000350,Ezetimibe,에제티미브,근증/횡문근변성의위험성이증가,1
D000150,Atazanavir,아타자나비르,D001648,Fexuprazan,펙수프라잔,-위내pH증가로인한Atazanavir의생체이용률감소,1
D000150,Atazanavir,아타자나비르,D001362,Glecaprevir,글레카프레비르,Glecaprevir의혈장농도가유의하게증가하여ALT상승위험증가가능,1
D000150,Atazanavir,아타자나비르,D000168,Ilaprazole,일라프라졸,아타자나비르의혈중농도감,1
D000150,Atazanavir,아타자나비르,D000161,Irinotecan,이리노테칸,골수기능억제|설사등부작용증강,1
D000150,Atazanavir,아타자나비르,D000419,Lovastatin,로바스타틴,횡문근융해증을비롯한근육질환등중증이상반응,1
D000150,Atazanavir,아타자나비르,D000228,Methylergometrine,메틸에르고메트린,맥각독성(말초혈관경련|사지와기타조직의허혈|감각이상등)위험증가,1
D000150,Atazanavir,아타자나비르,D000213,Pimozide,피모짓,QT연장|심실성빈맥|심실세동및torsadesdepointes등심독성위험증가,1
D000150,Atazanavir,아타자나비르,D000301,Revaprazan,레바프라잔,아타자나비르의혈중농도감소,1
D000150,Atazanavir,아타자나비르,D001367,Tegoprazan,테고프라잔,위장pH의증가로atazanavir의흡수가저하되어atazanavir의치료효과감소,1
D000737,Avanafil,아바나필,D001723,isosorbidedinitrate,이소소르비드이질산염,혈압강하작용증가,1
D000737,Avanafil,아바나필,D001722,isosorbidemononitrate,이소소르비드일질산염,혈압강하작용증가,1
D000250,Azathioprine,아자티오프린,D001003,Tofacitinib,토파시티닙,면역억제효과증가,1
D000742,Azithromycin,아지트로마이신,D000747,Ergotamine,에르고타민,맥각독성(혈관경련|말단및기타조직허혈등)위험증가,1
D000328,Bedaquiline,베다퀼린,D001081,Rifabutin,리파부틴,-Bedaquiline의혈중농도와치료효과감소,1
D000020,Blonanserin,블로난세린,D000673,Cobicistat,코비시스타트,Blonanserin혈중농도증가,1
D000020,Blonanserin,블로난세린,D000626,Lopinavir,로피나비르,Blonanserin농도의증가로신경학적또는기타의독성가능성증가,1
D000015,Bosentan,보센탄,D000690,Glibenclamide,글리벤클라미드,간독성및간효소치상승,1
D000015,Bosentan,보센탄,D001650,Nirmatrelvir,니르마트렐비르,-Bosentan의혈중농도를증가시키고|Nirmatrelvir+Ritonavir의혈중농도를감소시킬수있음,1
D000015,Bosentan,보센탄,D000279,Tacrolimus,타크로리무스,보센탄의혈중농도증가,1
D000015,Bosentan,보센탄,D001609,Venetoclax,베네토클락스,-CYP3A유도제와의병용은Venetoclax의노출을감소시켜결과적으로효능부족을초래할수있음,1
D000541,Bromocriptine,브로모크립틴,D000755,Octreotide,옥트레오티드,bromocriptinemesylate혈중농도상승,1
D000541,Bromocriptine,브로모크립틴,D000778,Thiothixene,티오틱센,bromocryptine의효과저해,1
D000238,Bromperidol,브롬페리돌,D000343,Amantadine,아만타딘,항콜린작용증가,1
D000238,Bromperidol,브롬페리돌,D000541,Bromocriptine,브로모크립틴,지발성운동장애촉진|bromocryptine의작용감약,1
D000238,Bromperidol,브롬페리돌,D000560,Epinephrine,에피네프린,혈압강하,1
D000018,BupropionHydrochloride,부프로피온염산염,D000505,Diethylpropion,디에틸프로피온,판막심장병위험,1
D000018,BupropionHydrochloride,부프로피온염산염,D001063,Lorcaserin,로카세린,안전성및유효성미확립,1
D000018,BupropionHydrochloride,부프로피온염산염,D000714,Mazindol,마진돌,폐동맥고혈압위험증가,1
D000018,BupropionHydrochloride,부프로피온염산염,D000701,Phendimetrazinetartrate,펜디메트라진타르타르산염,판막심장병위험,1
D000018,BupropionHydrochloride,부프로피온염산염,D000795,Phentermine,펜터민,판막심장병위험,1
D000018,BupropionHydrochloride,부프로피온염산염,D000139,SelegilineHydrochloride,셀레길린염산염,bupropion의급성독성증가,1
D001552,Burosumab,부로수맙,D001817,Monobasicsodiumphosphate,인산수소나트륨무수물,-고인산혈증발생가능,1
D000175,Calcifediol,칼시페디올,D000581,Calcitriol,칼시트리올,고칼슘혈증,1
D000581,Calcitriol,칼시트리올,D001552,Burosumab,부로수맙,-고인산혈증발생가능,1
D000494,CalciumGluconate,글루콘산칼슘,D001820,Digoxin,디곡신,-Digoxin작용증강으로인한디기탈리스중독(서맥|심실성기외수축|방실블록등)위험증가,1
D001819,Calciumchloride,염화칼슘,D001820,Digoxin,디곡신,-Digoxin작용증강으로인한디기탈리스중독(서맥|심실성기외수축|방실블록등)위험증가,1
D000476,Carbamazepine,카르바마제핀,D001701,Acalabrutinib,아칼라브루티닙,-강력한CYP3A유도제와의병용으로Acalabrutinib의혈중농도감소,1
D000476,Carbamazepine,카르바마제핀,D001606,Brigatinib,브리가티닙,-Brigatinib의혈장농도를감소시킬수있음,1
D000476,Carbamazepine,카르바마제핀,D001748,Cabotegravir,카보테그라비르,Cabotegravir의혈중농도를감소시켜치료효과를감소시킬수있음.,1
D000476,Carbamazepine,카르바마제핀,D001585,Cabozantinib,카보잔티닙,-Cabozantinib의혈장노출감소,1
D000476,Carbamazepine,카르바마제핀,D001076,Ceritinib,세리티닙,-Ceritinib혈장농도감소,1
D000476,Carbamazepine,카르바마제핀,D000673,Cobicistat,코비시스타트,Cobicistat및Elvitegravir의혈중농도감소로치료효과소실및내성발현가능,1
D000476,Carbamazepine,카르바마제핀,D001323,Delamanid,델라마니드,-Delamanid의혈중농도감소,1
D000476,Carbamazepine,카르바마제핀,D001171,Elbasvir,엘바스비르,엘바스비르와그라조프레비르의혈장농도가유의하게감소하여이약의바이러스학적반응감소가능,1
D000476,Carbamazepine,카르바마제핀,D001743,Finerenone,피네레논,Finerenone혈중농도의현저한감소및치료효과감소가예상됨.,1
D000476,Carbamazepine,카르바마제핀,D001362,Glecaprevir,글레카프레비르,Glecaprevir와Pibrentasvir의혈장농도가유의하게감소하여이약의바이러스학적반응감소가능,1
D000476,Carbamazepine,카르바마제핀,D001590,Ibrutinib,이브루티닙,-Ibrutinib의혈중농도감소,1
D000476,Carbamazepine,카르바마제핀,D001612,Isavuconazonium,이사부코나조늄,-Isavuconazonium의혈장농도를유의미하게감소시킬수있음,1
D000476,Carbamazepine,카르바마제핀,D001711,Ixazomib,익사조밉,-Ixazomib의효과감소,1
D000476,Carbamazepine,카르바마제핀,D001697,Lorlatinib,롤라티닙,Lorlatinib의혈중농도를감소시킬수있음.,1
D000476,Carbamazepine,카르바마제핀,D001763,Lurasidone,루라시돈,-Lurasidone의노출을감소시킬수있음,1
D000476,Carbamazepine,카르바마제핀,D001594,Midostaurin,미도스타우린,-Midostaurin과활성대사체의혈중농도감소,1
D000476,Carbamazepine,카르바마제핀,D001650,Nirmatrelvir,니르마트렐비르,-바이러스반응의손실및내성발현의잠재적인가능성,1
D000476,Carbamazepine,카르바마제핀,D001598,Ponatinib,포나티닙,-Ponatinib의노출감소,1
D000476,Carbamazepine,카르바마제핀,D001562,Ranolazine,라놀라진,-Ranolazine의효과부족이발생될것으로예상됨,1
D000476,Carbamazepine,카르바마제핀,D001418,Ribociclib,리보시클립,-강력한CYP3A유도제와의병용투여는Ribociclib의혈장노출을감소시킬수있음,1
